Cloud cover [1/8],Date,Snow depth [cm],Unnamed: 0,Average temperature [°C],latitude,longitude,Average radiation
Mostly cloudy (7/8),2004-03-01,66,60.0,-7,64.13945257073718,28.287481328803143,22.633333333333336
Partly cloudy (5/8),2004-03-02,65,61.0,-12.9,64.13945257073718,28.287481328803143,22.7
Mostly cloudy (7/8),2004-03-03,64,62.0,-9.8,64.13945257073718,28.287481328803143,172.03333333333333
Partly cloudy (5/8),2004-03-04,64,63.0,-8.5,64.13945257073718,28.287481328803143,226.33333333333331
Partly cloudy (5/8),2004-03-05,64,64.0,-9,64.13945257073718,28.287481328803143,152.53333333333333
Mostly cloudy (7/8),2004-03-06,64,65.0,-11.1,64.13945257073718,28.287481328803143,133.03333333333333
Mostly cloudy (7/8),2004-03-07,63,66.0,-4.6,64.13945257073718,28.287481328803143,94.6
Clear (1/8),2004-03-08,62,67.0,-4.4,64.13945257073718,28.287481328803143,60.46666666666667
Clear (1/8),2004-03-09,62,68.0,-7.5,64.13945257073718,28.287481328803143,223.4
Mostly clear (3/8),2004-03-10,62,69.0,-2.3,64.13945257073718,28.287481328803143,235.0
Cloudy (8/8),2004-03-11,61,70.0,-3.4,64.13945257073718,28.287481328803143,263.93333333333334
Partly cloudy (5/8),2004-03-12,61,71.0,-2.4,64.13945257073718,28.287481328803143,195.9
Clear (0/8),2004-03-13,60,72.0,-6.6,64.13945257073718,28.287481328803143,215.53333333333333
Clear (0/8),2004-03-14,60,73.0,-3.8,64.13945257073718,28.287481328803143,32.63333333333333
Cloudy (8/8),2004-03-15,59,74.0,0.6,64.13945257073718,28.287481328803143,2.5666666666666664
Cloudy (8/8),2004-03-16,58,75.0,1,64.13945257073718,28.287481328803143,4.033333333333333
Mostly cloudy (7/8),2004-03-17,56,76.0,0,64.13945257073718,28.287481328803143,163.5666666666667
Cloudy (8/8),2004-03-18,57,77.0,-0.6,64.13945257073718,28.287481328803143,62.46666666666667
Cloudy (8/8),2004-03-19,57,78.0,-0.2,64.13945257073718,28.287481328803143,192.5
Cloudiness cannot be determined (9/8),2004-03-20,57,79.0,1.1,64.13945257073718,28.287481328803143,2.166666666666667
Cloudy (8/8),2004-03-21,57,80.0,-0.3,64.13945257073718,28.287481328803143,2.9000000000000004
Mostly cloudy (7/8),2004-03-22,55,81.0,-3.4,64.13945257073718,28.287481328803143,7.933333333333334
Cloudy (8/8),2004-03-23,56,82.0,-3.8,64.13945257073718,28.287481328803143,18.066666666666663
Cloudy (8/8),2004-03-24,56,83.0,-3.9,64.13945257073718,28.287481328803143,15.033333333333331
Cloudy (8/8),2004-03-25,59,84.0,-4.3,64.13945257073718,28.287481328803143,63.13333333333333
Cloudy (8/8),2004-03-26,58,85.0,-4.7,64.13945257073718,28.287481328803143,115.33333333333331
Partly cloudy (5/8),2004-03-27,57,86.0,-4.2,64.13945257073718,28.287481328803143,66.00000000000001
Cloudy (8/8),2004-03-28,59,87.0,-1,64.13945257073718,28.287481328803143,226.63333333333333
Clear (0/8),2004-03-29,58,88.0,-1.5,64.13945257073718,28.287481328803143,122.53333333333336
Cloudy (8/8),2004-03-30,58,89.0,-0.6,64.13945257073718,28.287481328803143,125.66666666666669
Clear (0/8),2004-03-31,60,90.0,-2.9,64.13945257073718,28.287481328803143,347.43333333333334
Partly cloudy (5/8),2004-04-01,60,91.0,-7.7,64.13945257073718,28.287481328803143,401.3333333333333
