Cloud cover [1/8],Date,Snow depth [cm],Unnamed: 0,Average temperature [°C],latitude,longitude,Average radiation
Mostly clear (3/8),2004-03-03,69,62,-9.5,68.42513494822931,27.44966181554389,172.03333333333333
Clear (0/8),2004-03-04,68,63,-11.9,68.42513494822931,27.44966181554389,226.33333333333331
Mostly clear (3/8),2004-03-05,66,64,-11.4,68.42513494822931,27.44966181554389,152.53333333333333
Cloudy (8/8),2004-03-06,66,65,-7.1,68.42513494822931,27.44966181554389,133.03333333333333
Cloudy (8/8),2004-03-07,66,66,-6.8,68.42513494822931,27.44966181554389,94.6
Clear (0/8),2004-03-08,66,67,-7.1,68.42513494822931,27.44966181554389,60.46666666666667
Clear (0/8),2004-03-09,65,68,-3.9,68.42513494822931,27.44966181554389,223.4
Partly cloudy (5/8),2004-03-10,64,69,1.6,68.42513494822931,27.44966181554389,235.0
Clear (0/8),2004-03-11,64,70,0.4,68.42513494822931,27.44966181554389,263.93333333333334
Clear (0/8),2004-03-12,63,71,-4.6,68.42513494822931,27.44966181554389,195.9
Mostly cloudy (7/8),2004-03-13,63,72,-4.0,68.42513494822931,27.44966181554389,215.53333333333333
Clear (0/8),2004-03-14,63,73,-6.0,68.42513494822931,27.44966181554389,32.63333333333333
Cloudy (8/8),2004-03-15,63,74,-1.3,68.42513494822931,27.44966181554389,2.5666666666666664
Cloudy (8/8),2004-03-16,72,75,-0.9,68.42513494822931,27.44966181554389,4.033333333333333
Clear (0/8),2004-03-17,73,76,-3.6,68.42513494822931,27.44966181554389,163.5666666666667
Mostly cloudy (7/8),2004-03-18,72,77,-3.2,68.42513494822931,27.44966181554389,62.46666666666667
Cloudy (8/8),2004-03-19,71,78,-1.6,68.42513494822931,27.44966181554389,192.5
Cloudy (8/8),2004-03-20,70,79,-0.4,68.42513494822931,27.44966181554389,2.166666666666667
Cloudy (8/8),2004-03-21,69,80,-3.9,68.42513494822931,27.44966181554389,2.9000000000000004
Mostly cloudy (7/8),2004-03-22,69,81,-10.5,68.42513494822931,27.44966181554389,7.933333333333334
Mostly cloudy (7/8),2004-03-23,68,82,-7.5,68.42513494822931,27.44966181554389,18.066666666666663
Cloudy (8/8),2004-03-24,68,83,-8.0,68.42513494822931,27.44966181554389,15.033333333333331
Cloudy (8/8),2004-03-25,68,84,-9.9,68.42513494822931,27.44966181554389,63.13333333333333
Cloudy (8/8),2004-03-26,68,85,-10.5,68.42513494822931,27.44966181554389,115.33333333333331
Cloudy (8/8),2004-03-27,68,86,-9.0,68.42513494822931,27.44966181554389,66.00000000000001
Mostly cloudy (7/8),2004-03-28,68,87,-6.4,68.42513494822931,27.44966181554389,226.63333333333333
Mostly cloudy (7/8),2004-03-29,69,88,-8.3,68.42513494822931,27.44966181554389,122.53333333333336
Cloudy (8/8),2004-03-30,69,89,-5.2,68.42513494822931,27.44966181554389,125.66666666666669
Mostly cloudy (7/8),2004-03-31,70,90,-7.0,68.42513494822931,27.44966181554389,347.43333333333334
Clear (1/8),2004-04-01,69,91,-8.4,68.42513494822931,27.44966181554389,401.3333333333333
Mostly clear (3/8),2004-04-02,68,92,-5.5,68.42513494822931,27.44966181554389,371.8666666666666
Clear (0/8),2004-04-03,68,93,-3.9,68.42513494822931,27.44966181554389,311.26666666666665
Clear (0/8),2004-04-04,68,94,-1.9,68.42513494822931,27.44966181554389,316.6
Clear (0/8),2004-04-05,65,95,-0.3,68.42513494822931,27.44966181554389,230.0666666666667
Mostly cloudy (7/8),2004-04-06,64,96,1.3,68.42513494822931,27.44966181554389,193.9333333333333
Clear (0/8),2004-04-07,61,97,2.0,68.42513494822931,27.44966181554389,306.1
Clear (0/8),2004-04-08,59,98,2.3,68.42513494822931,27.44966181554389,286.93333333333334
Mostly cloudy (7/8),2004-04-09,56,99,1.4,68.42513494822931,27.44966181554389,242.0
Cloudy (8/8),2004-04-10,58,100,-0.8,68.42513494822931,27.44966181554389,176.96666666666667
Clear (0/8),2004-04-11,55,101,-2.8,68.42513494822931,27.44966181554389,253.46666666666667
Mostly cloudy (7/8),2004-04-12,57,102,-0.6,68.42513494822931,27.44966181554389,301.0
Clear (0/8),2004-04-13,55,103,-1.8,68.42513494822931,27.44966181554389,381.73333333333335
Cloudy (8/8),2004-04-14,54,104,-1.1,68.42513494822931,27.44966181554389,13.266666666666666
Cloudy (8/8),2004-04-15,54,105,1.1,68.42513494822931,27.44966181554389,214.86666666666665
Clear (0/8),2004-04-16,53,106,1.7,68.42513494822931,27.44966181554389,85.93333333333334
Mostly cloudy (7/8),2004-04-17,49,107,2.8,68.42513494822931,27.44966181554389,260.9
Mostly cloudy (7/8),2004-04-18,47,108,2.8,68.42513494822931,27.44966181554389,172.36666666666667
Mostly cloudy (7/8),2004-04-19,44,109,0.9,68.42513494822931,27.44966181554389,216.96666666666667
Cloudy (8/8),2004-04-20,45,110,-4.9,68.42513494822931,27.44966181554389,9.266666666666666
Cloudy (8/8),2004-04-21,51,111,-4.7,68.42513494822931,27.44966181554389,194.46666666666667
Clear (0/8),2004-04-22,49,112,-3.6,68.42513494822931,27.44966181554389,309.1666666666667
Mostly cloudy (7/8),2004-04-23,45,113,-3.1,68.42513494822931,27.44966181554389,359.1666666666667
Clear (0/8),2004-04-24,45,114,-3.2,68.42513494822931,27.44966181554389,340.8666666666666
Clear (0/8),2004-04-25,44,115,-0.4,68.42513494822931,27.44966181554389,306.9
Cloudy (8/8),2004-04-26,42,116,3.3,68.42513494822931,27.44966181554389,298.1
Mostly cloudy (7/8),2004-04-27,42,117,3.7,68.42513494822931,27.44966181554389,303.6666666666667
Clear (0/8),2004-04-28,37,118,5.1,68.42513494822931,27.44966181554389,267.0
Clear (0/8),2004-04-29,35,119,6.3,68.42513494822931,27.44966181554389,161.1
Mostly cloudy (7/8),2004-04-30,30,120,3.1,68.42513494822931,27.44966181554389,274.3
Mostly cloudy (7/8),2004-05-01,27,121,1.1,68.42513494822931,27.44966181554389,206.4666666666667
Clear (0/8),2004-05-02,25,122,1.9,68.42513494822931,27.44966181554389,281.3666666666668
Mostly cloudy (7/8),2004-05-03,21,123,6.7,68.42513494822931,27.44966181554389,262.0
Clear (0/8),2004-05-04,14,124,9.6,68.42513494822931,27.44966181554389,53.56666666666667
Mostly cloudy (7/8),2004-05-05,0,125,10.9,68.42513494822931,27.44966181554389,220.9333333333333
Clear (0/8),2004-05-06,0,126,13.6,68.42513494822931,27.44966181554389,367.6666666666667
Clear (0/8),2004-05-07,-1,127,13.6,68.42513494822931,27.44966181554389,273.2
Clear (0/8),2004-05-08,-1,128,15.9,68.42513494822931,27.44966181554389,239.1
Clear (1/8),2004-05-09,-1,129,1.5,68.42513494822931,27.44966181554389,186.46666666666667
