Cloud cover [1/8],Date,Snow depth [cm],Unnamed: 0,Average temperature [°C],latitude,longitude,Average radiation
Cloudiness cannot be determined (9/8),2004-03-01,67,60.0,-11.3,67.78546081039612,24.856284347661145,22.633333333333336
Cloudy (8/8),2004-03-02,66,61.0,-8.7,67.78546081039612,24.856284347661145,22.7
Mostly clear (3/8),2004-03-03,66,62.0,-10.6,67.78546081039612,24.856284347661145,172.03333333333333
Clear (0/8),2004-03-04,66,63.0,-16.2,67.78546081039612,24.856284347661145,226.33333333333331
Mostly clear (3/8),2004-03-05,66,64.0,-14.5,67.78546081039612,24.856284347661145,152.53333333333333
Cloudy (8/8),2004-03-06,66,65.0,-9.7,67.78546081039612,24.856284347661145,133.03333333333333
Cloudy (8/8),2004-03-07,66,66.0,-8.2,67.78546081039612,24.856284347661145,94.6
Clear (0/8),2004-03-08,66,67.0,-8,67.78546081039612,24.856284347661145,60.46666666666667
Clear (0/8),2004-03-09,66,68.0,-4.7,67.78546081039612,24.856284347661145,223.4
Partly cloudy (5/8),2004-03-10,66,69.0,-0.4,67.78546081039612,24.856284347661145,235.0
Clear (0/8),2004-03-11,63,70.0,-0.2,67.78546081039612,24.856284347661145,263.93333333333334
Clear (0/8),2004-03-12,63,71.0,-6.8,67.78546081039612,24.856284347661145,195.9
Mostly cloudy (7/8),2004-03-13,63,72.0,-5.4,67.78546081039612,24.856284347661145,215.53333333333333
Clear (0/8),2004-03-14,63,73.0,-6.1,67.78546081039612,24.856284347661145,32.63333333333333
Cloudy (8/8),2004-03-15,63,74.0,-0.4,67.78546081039612,24.856284347661145,2.5666666666666664
Cloudy (8/8),2004-03-16,68,75.0,-1.1,67.78546081039612,24.856284347661145,4.033333333333333
Clear (0/8),2004-03-17,67,76.0,-5.5,67.78546081039612,24.856284347661145,163.5666666666667
Mostly cloudy (7/8),2004-03-18,67,77.0,-1.4,67.78546081039612,24.856284347661145,62.46666666666667
Cloudy (8/8),2004-03-19,67,78.0,-0.3,67.78546081039612,24.856284347661145,192.5
Cloudy (8/8),2004-03-20,65,79.0,0.2,67.78546081039612,24.856284347661145,2.166666666666667
Cloudy (8/8),2004-03-21,63,80.0,-2.1,67.78546081039612,24.856284347661145,2.9000000000000004
Mostly cloudy (7/8),2004-03-22,63,81.0,-8,67.78546081039612,24.856284347661145,7.933333333333334
Mostly cloudy (7/8),2004-03-23,63,82.0,-6.7,67.78546081039612,24.856284347661145,18.066666666666663
Cloudy (8/8),2004-03-24,63,83.0,-7.5,67.78546081039612,24.856284347661145,15.033333333333331
Cloudy (8/8),2004-03-25,65,84.0,-8.7,67.78546081039612,24.856284347661145,63.13333333333333
Cloudy (8/8),2004-03-26,65,85.0,-8.5,67.78546081039612,24.856284347661145,115.33333333333331
Cloudy (8/8),2004-03-27,66,86.0,-5.9,67.78546081039612,24.856284347661145,66.00000000000001
Mostly cloudy (7/8),2004-03-28,68,87.0,-3.5,67.78546081039612,24.856284347661145,226.63333333333333
Mostly cloudy (7/8),2004-03-29,68,88.0,-7.9,67.78546081039612,24.856284347661145,122.53333333333336
Cloudy (8/8),2004-03-30,68,89.0,-4.6,67.78546081039612,24.856284347661145,125.66666666666669
