Cloud cover [1/8],Date,Snow depth [cm],Average temperature [°C],latitude,longitude,Average radiation
Mostly cloudy (7/8),2009-09-06,-1,10.9,66.16575626929145,29.152157226680888,96.35151515151516
Cloudy (8/8),2009-09-07,-1,9,66.16575626929145,29.152157226680888,86.4139393939394
Mostly cloudy (7/8),2009-09-08,-1,8.5,66.16575626929145,29.152157226680888,88.46151515151517
Clear (0/8),2009-09-09,-1,10,66.16575626929145,29.152157226680888,104.97878787878788
Clear (0/8),2009-09-10,-1,9.7,66.16575626929145,29.152157226680888,177.47696969696972
Clear (0/8),2009-09-11,-1,6.9,66.16575626929145,29.152157226680888,127.5769696969697
Mostly cloudy (7/8),2009-09-12,-1,7.5,66.16575626929145,29.152157226680888,69.95363636363636
Mostly cloudy (7/8),2009-09-13,-1,7.3,66.16575626929145,29.152157226680888,121.16727272727272
Clear (0/8),2009-09-14,-1,8.8,66.16575626929145,29.152157226680888,125.99757575757576
Cloudy (8/8),2009-09-15,-1,9.4,66.16575626929145,29.152157226680888,117.33666666666666
Cloudy (8/8),2009-09-16,-1,7.9,66.16575626929145,29.152157226680888,85.84592592592593
Mostly cloudy (7/8),2009-09-17,-1,4,66.16575626929145,29.152157226680888,86.11717171717173
Clear (0/8),2009-09-18,-1,1.8,66.16575626929145,29.152157226680888,144.2942424242424
Mostly cloudy (7/8),2009-09-19,-1,3.9,66.16575626929145,29.152157226680888,84.53636363636365
Clear (1/8),2009-09-20,-1,8.3,66.16575626929145,29.152157226680888,102.61060606060606
Cloudy (8/8),2009-09-21,-1,7.6,66.16575626929145,29.152157226680888,120.62575757575758
Partly cloudy (5/8),2009-09-22,-1,6,66.16575626929145,29.152157226680888,77.32575757575758
Mostly cloudy (7/8),2009-09-23,-1,7.3,66.16575626929145,29.152157226680888,92.75363636363636
Mostly cloudy (7/8),2009-09-24,-1,4.7,66.16575626929145,29.152157226680888,70.88454545454545
Cloudy (8/8),2009-09-25,-1,4.5,66.16575626929145,29.152157226680888,139.20000000000002
Mostly cloudy (7/8),2009-09-26,-1,8,66.16575626929145,29.152157226680888,160.23636363636365
Clear (0/8),2009-09-27,-1,7.1,66.16575626929145,29.152157226680888,102.34242424242424
Mostly cloudy (7/8),2009-09-28,-1,1.3,66.16575626929145,29.152157226680888,72.55363636363636
Mostly cloudy (7/8),2009-09-29,-1,-1,66.16575626929145,29.152157226680888,83.18939393939395
Clear (0/8),2009-09-30,-1,-0.4,66.16575626929145,29.152157226680888,104.24949494949496
Cloudy (8/8),2009-10-01,-1,-1,66.16575626929145,29.152157226680888,96.2193992248062
Mostly cloudy (7/8),2009-10-02,-1,-0.1,66.16575626929145,29.152157226680888,119.66060606060609
Clear (0/8),2009-10-03,-1,-1,66.16575626929145,29.152157226680888,52.50727272727272
Mostly cloudy (7/8),2009-10-04,-1,-1,66.16575626929145,29.152157226680888,60.4430303030303
Cloudy (8/8),2009-10-05,-1,-1.5,66.16575626929145,29.152157226680888,59.08363636363635
Mostly cloudy (7/8),2009-10-06,-1,-2.4,66.16575626929145,29.152157226680888,107.73939393939396
Clear (0/8),2009-10-07,-1,-2.2,66.16575626929145,29.152157226680888,52.79090909090909
Cloudy (8/8),2009-10-08,3,-2.8,66.16575626929145,29.152157226680888,86.2939393939394
Mostly clear (3/8),2009-10-09,3,-3.6,66.16575626929145,29.152157226680888,126.07020202020205
Clear (0/8),2009-10-10,3,-3.9,66.16575626929145,29.152157226680888,107.37575757575758
Mostly clear (3/8),2009-10-11,4,-3.7,66.16575626929145,29.152157226680888,124.35681818181818
Clear (0/8),2009-10-12,4,-5,66.16575626929145,29.152157226680888,78.7030303030303
Mostly cloudy (7/8),2009-10-13,4,-5.5,66.16575626929145,29.152157226680888,92.10944444444446
Mostly cloudy (7/8),2009-10-14,4,-5.7,66.16575626929145,29.152157226680888,103.63969696969696
Mostly cloudy (7/8),2009-10-15,4,-1.5,66.16575626929145,29.152157226680888,56.26060606060606
Cloudy (8/8),2009-10-16,0,-1,66.16575626929145,29.152157226680888,40.26666666666667
Cloudiness cannot be determined (9/8),2009-10-17,6,-1.5,66.16575626929145,29.152157226680888,58.81212121212121
Clear (0/8),2009-10-18,6,-2.9,66.16575626929145,29.152157226680888,47.15883838383839
Mostly cloudy (7/8),2009-10-19,6,-2,66.16575626929145,29.152157226680888,65.07247474747474
Mostly cloudy (7/8),2009-10-20,6,-1.8,66.16575626929145,29.152157226680888,43.416363636363634
Cloudy (8/8),2009-10-21,6,-0.6,66.16575626929145,29.152157226680888,19.600303030303028
Cloudy (8/8),2009-10-22,6,-1.6,66.16575626929145,29.152157226680888,17.77272727272727
Cloudy (8/8),2009-10-23,6,-3.2,66.16575626929145,29.152157226680888,23.864646464646466
Cloudy (8/8),2009-10-24,5,-4,66.16575626929145,29.152157226680888,43.0030303030303
Mostly cloudy (7/8),2009-10-25,5,-4.6,66.16575626929145,29.152157226680888,17.96666666666667
Cloudy (8/8),2009-10-26,5,-3.7,66.16575626929145,29.152157226680888,14.9
Cloudy (8/8),2009-10-27,7,-3,66.16575626929145,29.152157226680888,9.50909090909091
Cloudy (8/8),2009-10-28,7,-3.2,66.16575626929145,29.152157226680888,40.4959595959596
Clear (0/8),2009-10-29,8,-6.7,66.16575626929145,29.152157226680888,74.18030303030302
Mostly cloudy (7/8),2009-10-30,8,-5.9,66.16575626929145,29.152157226680888,40.519696969696966
Cloudy (8/8),2009-10-31,8,-5.1,66.16575626929145,29.152157226680888,32.49
Cloudy (8/8),2009-11-01,8,-1.8,66.16575626929145,29.152157226680888,63.55793650793652
Cloudy (8/8),2009-11-02,7,-1,66.16575626929145,29.152157226680888,36.713167388167385
Cloudy (8/8),2009-11-03,7,-2.6,66.16575626929145,29.152157226680888,32.403102453102456
Mostly cloudy (7/8),2009-11-04,6,-3.7,66.16575626929145,29.152157226680888,21.721284271284272
Cloudy (8/8),2009-11-05,6,-6.8,66.16575626929145,29.152157226680888,17.72017982017982
Cloudy (8/8),2009-11-06,6,-6.1,66.16575626929145,29.152157226680888,17.72973692973693
Clear (1/8),2009-11-07,6,-7.1,66.16575626929145,29.152157226680888,23.530636030636032
Cloudy (8/8),2009-11-08,8,-3.5,66.16575626929145,29.152157226680888,25.85114885114885
Mostly cloudy (7/8),2009-11-09,10,-1.4,66.16575626929145,29.152157226680888,18.007251082251084
Cloudy (8/8),2009-11-10,9,-2.9,66.16575626929145,29.152157226680888,10.970129870129872
Partly cloudy (5/8),2009-11-11,9,-5.1,66.16575626929145,29.152157226680888,15.302200577200578
Cloudy (8/8),2009-11-12,15,-7.4,66.16575626929145,29.152157226680888,12.420707070707072
Cloudy (8/8),2009-11-13,14,-6.5,66.16575626929145,29.152157226680888,17.92821067821068
Mostly cloudy (7/8),2009-11-14,13,-8.1,66.16575626929145,29.152157226680888,19.501298701298705
Cloudy (8/8),2009-11-15,13,-8,66.16575626929145,29.152157226680888,7.396969696969697
Cloudy (8/8),2009-11-16,14,-1.7,66.16575626929145,29.152157226680888,23.352236652236652
Cloudy (8/8),2009-11-17,13,-3,66.16575626929145,29.152157226680888,21.951911976911976
Cloudy (8/8),2009-11-18,13,-3,66.16575626929145,29.152157226680888,8.532647907647908
Mostly cloudy (7/8),2009-11-19,13,-2.5,66.16575626929145,29.152157226680888,11.288744588744589
Cloudy (8/8),2009-11-20,14,-2.8,66.16575626929145,29.152157226680888,9.842424242424242
Cloudy (8/8),2009-11-21,14,-1.5,66.16575626929145,29.152157226680888,12.144388944388943
Cloudy (8/8),2009-11-22,17,-3.7,66.16575626929145,29.152157226680888,13.114033189033188
Cloudy (8/8),2009-11-23,17,-4.6,66.16575626929145,29.152157226680888,11.116017316017317
Mostly cloudy (7/8),2009-11-24,25,-1,66.16575626929145,29.152157226680888,20.10685425685426
Cloudy (8/8),2009-11-25,26,-3.5,66.16575626929145,29.152157226680888,12.775252525252526
Cloudy (8/8),2009-11-26,26,-4.2,66.16575626929145,29.152157226680888,8.528246753246753
Cloudy (8/8),2009-11-27,29,-0.3,66.16575626929145,29.152157226680888,17.08961038961039
Cloudy (8/8),2009-11-28,25,0.2,66.16575626929145,29.152157226680888,11.614415584415584
Mostly cloudy (7/8),2009-11-29,22,-1.4,66.16575626929145,29.152157226680888,8.82857142857143
Mostly cloudy (7/8),2009-11-30,22,-2.4,66.16575626929145,29.152157226680888,8.625937950937951
Cloudy (8/8),2009-12-01,23,-1.7,66.16575626929145,29.152157226680888,21.16678876678877
Clear (0/8),2009-12-02,22,-4.6,66.16575626929145,29.152157226680888,10.72952380952381
Partly cloudy (5/8),2009-12-03,24,-5.7,66.16575626929145,29.152157226680888,14.782380952380953
Mostly cloudy (7/8),2009-12-04,24,-5.8,66.16575626929145,29.152157226680888,9.395714285714286
Clear (0/8),2009-12-05,24,-8.3,66.16575626929145,29.152157226680888,11.524458874458874
Cloudy (8/8),2009-12-06,28,-6.3,66.16575626929145,29.152157226680888,10.75031746031746
Cloudy (8/8),2009-12-07,28,-4.4,66.16575626929145,29.152157226680888,9.792857142857144
Cloudy (8/8),2009-12-08,27,-3.1,66.16575626929145,29.152157226680888,9.293290043290044
Mostly cloudy (7/8),2009-12-09,27,-3.3,66.16575626929145,29.152157226680888,6.142380952380951
Cloudy (8/8),2009-12-10,32,-2.9,66.16575626929145,29.152157226680888,5.3330158730158725
Cloudy (8/8),2009-12-11,32,-3.5,66.16575626929145,29.152157226680888,3.073968253968254
Cloudy (8/8),2009-12-12,31,-5.9,66.16575626929145,29.152157226680888,7.812987012987013
Mostly cloudy (7/8),2009-12-13,32,-12.4,66.16575626929145,29.152157226680888,7.494588744588744
Mostly cloudy (7/8),2009-12-14,31,-15.9,66.16575626929145,29.152157226680888,5.822539682539683
Mostly cloudy (7/8),2009-12-15,32,-17.4,66.16575626929145,29.152157226680888,2.1822510822510823
Cloudy (8/8),2009-12-16,31,-17,66.16575626929145,29.152157226680888,11.038571428571428
Clear (1/8),2009-12-17,31,-15.9,66.16575626929145,29.152157226680888,11.221428571428572
Cloudy (8/8),2009-12-18,37,-10.5,66.16575626929145,29.152157226680888,2.9052380952380954
Mostly cloudy (7/8),2009-12-19,35,-8.6,66.16575626929145,29.152157226680888,7.196190476190476
Mostly cloudy (7/8),2009-12-20,37,-11.9,66.16575626929145,29.152157226680888,6.826190476190477
Mostly clear (3/8),2009-12-21,37,-12.3,66.16575626929145,29.152157226680888,8.83095238095238
Cloudy (8/8),2009-12-22,39,-16.6,66.16575626929145,29.152157226680888,4.291904761904763
Mostly cloudy (7/8),2009-12-23,39,-12.6,66.16575626929145,29.152157226680888,4.944285714285715
Mostly cloudy (7/8),2009-12-24,38,-16.6,66.16575626929145,29.152157226680888,14.024285714285712
Mostly cloudy (7/8),2009-12-25,37,-16.4,66.16575626929145,29.152157226680888,14.526825396825396
Mostly clear (3/8),2009-12-26,37,-16.2,66.16575626929145,29.152157226680888,11.275396825396824
Mostly cloudy (7/8),2009-12-27,38,-13.9,66.16575626929145,29.152157226680888,17.066190476190474
Cloudy (8/8),2009-12-28,42,-15.3,66.16575626929145,29.152157226680888,13.669264069264068
Mostly cloudy (7/8),2009-12-29,41,-12.3,66.16575626929145,29.152157226680888,13.233492063492063
Mostly cloudy (7/8),2009-12-30,40,-13.4,66.16575626929145,29.152157226680888,1.1420634920634922
Cloudy (8/8),2009-12-31,42,-14.3,66.16575626929145,29.152157226680888,5.654603174603174
Cloudy (8/8),2010-01-01,41,-18.7,66.16575626929145,29.152157226680888,12.51990553306343
Clear (0/8),2010-01-02,41,-22.5,66.16575626929145,29.152157226680888,9.312777777777775
Cloudy (8/8),2010-01-03,42,-20.3,66.16575626929145,29.152157226680888,14.27222222222222
Cloudy (8/8),2010-01-04,42,-22.6,66.16575626929145,29.152157226680888,9.139814814814814
Partly cloudy (4/8),2010-01-05,42,-21.3,66.16575626929145,29.152157226680888,17.93121212121212
Cloudy (8/8),2010-01-06,44,-19.5,66.16575626929145,29.152157226680888,17.282777777777778
Cloudy (8/8),2010-01-07,44,-20.9,66.16575626929145,29.152157226680888,13.226153846153847
Clear (0/8),2010-01-08,44,-17.8,66.16575626929145,29.152157226680888,10.745897435897437
Mostly cloudy (6/8),2010-01-09,43,-14.3,66.16575626929145,29.152157226680888,12.74230769230769
Cloudy (8/8),2010-01-10,43,-8.6,66.16575626929145,29.152157226680888,13.548333333333332
Cloudy (8/8),2010-01-11,42,-5.2,66.16575626929145,29.152157226680888,8.757777777777777
Mostly cloudy (7/8),2010-01-12,42,-6.9,66.16575626929145,29.152157226680888,10.31102564102564
Cloudy (8/8),2010-01-13,42,-6.2,66.16575626929145,29.152157226680888,6.642051282051281
Mostly cloudy (7/8),2010-01-14,42,-7.6,66.16575626929145,29.152157226680888,11.993076923076924
Mostly cloudy (7/8),2010-01-15,41,-7.9,66.16575626929145,29.152157226680888,20.53
Cloudiness cannot be determined (9/8),2010-01-16,41,-8.8,66.16575626929145,29.152157226680888,23.605454545454545
Cloudy (8/8),2010-01-17,41,-6.2,66.16575626929145,29.152157226680888,11.015555555555556
Cloudy (8/8),2010-01-18,41,-10.7,66.16575626929145,29.152157226680888,11.863333333333337
Cloudy (8/8),2010-01-19,41,-14.4,66.16575626929145,29.152157226680888,16.26666666666667
Cloudy (8/8),2010-01-20,41,-11.2,66.16575626929145,29.152157226680888,27.320000000000004
Cloudy (8/8),2010-01-21,41,-10.3,66.16575626929145,29.152157226680888,36.97944444444445
Clear (0/8),2010-01-22,40,-15.4,66.16575626929145,29.152157226680888,33.47944444444444
Clear (0/8),2010-01-23,41,-17.4,66.16575626929145,29.152157226680888,8.564871794871795
Cloudy (8/8),2010-01-24,41,-14,66.16575626929145,29.152157226680888,12.436923076923074
Cloudy (8/8),2010-01-25,42,-12.6,66.16575626929145,29.152157226680888,14.501025641025642
Cloudy (8/8),2010-01-26,43,-13.7,66.16575626929145,29.152157226680888,2.398974358974359
Clear (0/8),2010-01-27,44,-16.9,66.16575626929145,29.152157226680888,29.648333333333337
-,2010-01-28,43,-24.3,66.16575626929145,29.152157226680888,23.35833333333333
Mostly cloudy (7/8),2010-01-29,43,-20.6,66.16575626929145,29.152157226680888,8.55060606060606
Cloudy (8/8),2010-01-30,44,-18,66.16575626929145,29.152157226680888,8.479444444444443
Cloudy (8/8),2010-01-31,44,-17.3,66.16575626929145,29.152157226680888,11.315454545454548
Cloudy (8/8),2010-02-01,48,-11.5,66.16575626929145,29.152157226680888,6.023148148148148
Cloudy (8/8),2010-02-02,50,-9.5,66.16575626929145,29.152157226680888,6.111111111111111
Clear (0/8),2010-02-03,51,-8.8,66.16575626929145,29.152157226680888,21.89128205128205
Cloudy (8/8),2010-02-04,55,-12.1,66.16575626929145,29.152157226680888,43.41888888888889
Mostly cloudy (7/8),2010-02-05,58,-7.8,66.16575626929145,29.152157226680888,37.09611111111111
Mostly cloudy (7/8),2010-02-06,57,-6.9,66.16575626929145,29.152157226680888,41.50333333333334
Cloudy (8/8),2010-02-07,61,-8.7,66.16575626929145,29.152157226680888,19.797878787878787
Cloudy (8/8),2010-02-08,60,-9.8,66.16575626929145,29.152157226680888,29.73787878787879
Cloudy (8/8),2010-02-09,61,-13.5,66.16575626929145,29.152157226680888,28.28388888888889
Cloudy (8/8),2010-02-10,60,-17,66.16575626929145,29.152157226680888,55.125
Mostly clear (2/8),2010-02-11,61,-17.1,66.16575626929145,29.152157226680888,62.341025641025645
Mostly cloudy (7/8),2010-02-12,62,-15.5,66.16575626929145,29.152157226680888,42.78435897435897
Clear (0/8),2010-02-13,61,-12.2,66.16575626929145,29.152157226680888,17.479230769230767
Cloudy (8/8),2010-02-14,62,-12.1,66.16575626929145,29.152157226680888,44.005
Mostly cloudy (7/8),2010-02-15,65,-10.6,66.16575626929145,29.152157226680888,68.9469696969697
Mostly clear (2/8),2010-02-16,64,-15.1,66.16575626929145,29.152157226680888,105.23969696969696
Clear (0/8),2010-02-17,64,-16.8,66.16575626929145,29.152157226680888,81.55166666666666
Cloudiness cannot be determined (9/8),2010-02-18,63,-19.4,66.16575626929145,29.152157226680888,83.46
Clear (0/8),2010-02-19,62,-21.6,66.16575626929145,29.152157226680888,38.96564102564103
Clear (0/8),2010-02-20,62,-20.8,66.16575626929145,29.152157226680888,54.86363636363637
Clear (0/8),2010-02-21,61,-17,66.16575626929145,29.152157226680888,111.08969696969696
Mostly cloudy (7/8),2010-02-22,62,-20.7,66.16575626929145,29.152157226680888,47.72969696969697
Mostly cloudy (6/8),2010-02-23,62,-19.8,66.16575626929145,29.152157226680888,62.727222222222224
Mostly cloudy (6/8),2010-02-24,63,-18.2,66.16575626929145,29.152157226680888,50.32333333333333
Mostly cloudy (7/8),2010-02-25,64,-20,66.16575626929145,29.152157226680888,92.66410256410256
Cloudy (8/8),2010-02-26,64,-14.7,66.16575626929145,29.152157226680888,105.59555555555556
Cloudy (8/8),2010-02-27,65,-12.8,66.16575626929145,29.152157226680888,90.9661111111111
Cloudy (8/8),2010-02-28,73,-4.8,66.16575626929145,29.152157226680888,86.1111111111111
Cloudy (8/8),2010-03-01,77,-2.3,66.16575626929145,29.152157226680888,63.54022222222222
Cloudy (8/8),2010-03-02,82,-5.1,66.16575626929145,29.152157226680888,65.43666666666667
Cloudy (8/8),2010-03-03,92,-6.8,66.16575626929145,29.152157226680888,71.02757575757576
Mostly cloudy (7/8),2010-03-04,91,-9.4,66.16575626929145,29.152157226680888,133.7109090909091
Clear (0/8),2010-03-05,89,-10.9,66.16575626929145,29.152157226680888,85.01030303030302
Mostly cloudy (7/8),2010-03-06,86,-10.4,66.16575626929145,29.152157226680888,177.22848484848487
Cloudiness cannot be determined (9/8),2010-03-07,85,-12,66.16575626929145,29.152157226680888,39.65277777777778
Cloudy (8/8),2010-03-08,85,-6.5,66.16575626929145,29.152157226680888,59.94444444444444
Mostly clear (3/8),2010-03-09,83,-9.6,66.16575626929145,29.152157226680888,151.43388888888887
Clear (0/8),2010-03-10,82,-10.7,66.16575626929145,29.152157226680888,152.89515151515153
Mostly clear (3/8),2010-03-11,82,-9.1,66.16575626929145,29.152157226680888,97.50909090909092
Partly cloudy (5/8),2010-03-12,81,-10.4,66.16575626929145,29.152157226680888,177.05666666666664
Mostly cloudy (7/8),2010-03-13,80,-9.7,66.16575626929145,29.152157226680888,101.21999999999998
Cloudy (8/8),2010-03-14,80,-12.7,66.16575626929145,29.152157226680888,102.54848484848485
Cloudy (8/8),2010-03-15,80,-12.9,66.16575626929145,29.152157226680888,190.75666666666663
Clear (0/8),2010-03-16,79,-13.7,66.16575626929145,29.152157226680888,234.46666666666667
Clear (0/8),2010-03-17,79,-13.9,66.16575626929145,29.152157226680888,192.26242424242423
Clear (0/8),2010-03-18,78,-10,66.16575626929145,29.152157226680888,147.73777777777778
Clear (1/8),2010-03-19,78,-9.1,66.16575626929145,29.152157226680888,198.66166666666663
Cloudy (8/8),2010-03-20,78,-7.9,66.16575626929145,29.152157226680888,85.07787878787877
Cloudy (8/8),2010-03-21,84,-9.7,66.16575626929145,29.152157226680888,192.93181818181816
Clear (0/8),2010-03-22,83,-9.6,66.16575626929145,29.152157226680888,211.58939393939397
Mostly cloudy (6/8),2010-03-23,83,-7.5,66.16575626929145,29.152157226680888,140.86151515151514
Clear (0/8),2010-03-24,82,-8.5,66.16575626929145,29.152157226680888,184.85
Clear (0/8),2010-03-25,82,-8.8,66.16575626929145,29.152157226680888,171.03666666666666
Mostly cloudy (6/8),2010-03-26,84,-6.5,66.16575626929145,29.152157226680888,112.54
Cloudy (8/8),2010-03-27,84,-7.5,66.16575626929145,29.152157226680888,117.005
Cloudy (8/8),2010-03-28,87,-7.8,66.16575626929145,29.152157226680888,101.24333333333333
Cloudy (8/8),2010-03-29,95,-6.2,66.16575626929145,29.152157226680888,133.1
Cloudy (8/8),2010-03-30,98,-4.7,66.16575626929145,29.152157226680888,97.50666666666666
Mostly cloudy (7/8),2010-03-31,97,-4.2,66.16575626929145,29.152157226680888,115.36424242424243
Clear (0/8),2010-04-01,96,1.8,66.16575626929145,29.152157226680888,135.41416666666666
Clear (0/8),2010-04-02,91,2.5,66.16575626929145,29.152157226680888,117.36666666666667
Cloudy (8/8),2010-04-03,86,1.6,66.16575626929145,29.152157226680888,168.91
Mostly cloudy (7/8),2010-04-04,81,3.4,66.16575626929145,29.152157226680888,137.65
Mostly cloudy (7/8),2010-04-05,78,1.8,66.16575626929145,29.152157226680888,68.88818181818182
Cloudy (8/8),2010-04-06,75,1.4,66.16575626929145,29.152157226680888,98.66333333333334
Cloudy (8/8),2010-04-07,72,0.2,66.16575626929145,29.152157226680888,82.98333333333333
Cloudy (8/8),2010-04-08,69,-0.7,66.16575626929145,29.152157226680888,120.78083333333336
Cloudy (8/8),2010-04-09,65,0.1,66.16575626929145,29.152157226680888,86.48666666666666
Cloudy (8/8),2010-04-10,60,0.7,66.16575626929145,29.152157226680888,119.63583333333332
Cloudy (8/8),2010-04-11,55,0.9,66.16575626929145,29.152157226680888,194.93925925925927
Mostly cloudy (7/8),2010-04-12,51,1.5,66.16575626929145,29.152157226680888,195.83777777777777
Mostly cloudy (7/8),2010-04-13,47,0.2,66.16575626929145,29.152157226680888,170.46833333333333
Clear (0/8),2010-04-14,43,-1.7,66.16575626929145,29.152157226680888,224.5171428571429
Cloudy (8/8),2010-04-15,43,-0.4,66.16575626929145,29.152157226680888,224.92111111111112
Mostly cloudy (7/8),2010-04-16,41,-0.9,66.16575626929145,29.152157226680888,158.5688888888889
-,2010-04-17,40,-2.8,66.16575626929145,29.152157226680888,272.8258333333333
-,2010-04-18,40,-2.3,66.16575626929145,29.152157226680888,183.53
Cloudy (8/8),2010-04-19,40,-1.2,66.16575626929145,29.152157226680888,332.8737037037037
Clear (0/8),2010-04-20,39,-0.9,66.16575626929145,29.152157226680888,113.62185185185184
Clear (0/8),2010-04-21,38,0.7,66.16575626929145,29.152157226680888,258.44666666666666
Clear (0/8),2010-04-22,36,-0.9,66.16575626929145,29.152157226680888,220.8766666666667
Cloudy (8/8),2010-04-23,36,-3.4,66.16575626929145,29.152157226680888,154.1233333333333
Mostly cloudy (7/8),2010-04-24,37,-3.2,66.16575626929145,29.152157226680888,150.26944444444445
Mostly cloudy (7/8),2010-04-25,36,-3.6,66.16575626929145,29.152157226680888,208.64333333333332
Clear (0/8),2010-04-26,36,1.6,66.16575626929145,29.152157226680888,138.4966666666667
Partly cloudy (5/8),2010-04-27,33,0.4,66.16575626929145,29.152157226680888,194.02666666666664
Clear (0/8),2010-04-28,32,-1.9,66.16575626929145,29.152157226680888,262.25
Clear (1/8),2010-04-29,31,-0.8,66.16575626929145,29.152157226680888,236.05000000000004
Clear (0/8),2010-04-30,31,0.4,66.16575626929145,29.152157226680888,201.68666666666664
Cloudy (8/8),2010-05-01,29,1.3,66.16575626929145,29.152157226680888,133.80245098039214
Cloudy (8/8),2010-05-02,26,0.7,66.16575626929145,29.152157226680888,126.13666666666668
Cloudy (8/8),2010-05-03,23,-0.4,66.16575626929145,29.152157226680888,176.38333333333333
Partly cloudy (4/8),2010-05-04,20,1.6,66.16575626929145,29.152157226680888,291.04
Mostly clear (2/8),2010-05-05,18,1.8,66.16575626929145,29.152157226680888,205.84
Clear (0/8),2010-05-06,16,-1.7,66.16575626929145,29.152157226680888,199.21666666666667
Clear (0/8),2010-05-07,14,1,66.16575626929145,29.152157226680888,271.37111111111113
Clear (0/8),2010-05-08,11,0.7,66.16575626929145,29.152157226680888,332.68
Cloudy (8/8),2010-05-09,5,-0.9,66.16575626929145,29.152157226680888,218.33666666666667
Mostly cloudy (7/8),2010-05-10,2,2,66.16575626929145,29.152157226680888,204.2133333333333
Mostly cloudy (7/8),2010-05-11,-1,5.3,66.16575626929145,29.152157226680888,182.63666666666663
Mostly cloudy (7/8),2010-05-12,-1,8.8,66.16575626929145,29.152157226680888,199.3033333333333
Clear (1/8),2010-05-13,-1,9.4,66.16575626929145,29.152157226680888,293.90000000000003
Cloudy (8/8),2010-05-14,-1,9.7,66.16575626929145,29.152157226680888,231.9533333333333
Clear (0/8),2010-05-15,-1,15.9,66.16575626929145,29.152157226680888,306.77
Clear (0/8),2010-05-16,-1,11.9,66.16575626929145,29.152157226680888,275.59666666666664
Clear (0/8),2010-05-17,-1,12.9,66.16575626929145,29.152157226680888,292.71
Clear (0/8),2010-05-18,-1,15.6,66.16575626929145,29.152157226680888,291.6645454545455
Clear (0/8),2010-05-19,-1,17.6,66.16575626929145,29.152157226680888,303.15
Clear (0/8),2010-05-20,-1,19.5,66.16575626929145,29.152157226680888,265.0266666666667
Clear (0/8),2010-05-21,-1,10.7,66.16575626929145,29.152157226680888,221.18666666666664
Clear (0/8),2010-05-22,-1,6.4,66.16575626929145,29.152157226680888,230.5566666666667
Mostly cloudy (7/8),2010-05-23,-1,7.2,66.16575626929145,29.152157226680888,178.04666666666665
Mostly cloudy (7/8),2010-05-24,-1,9,66.16575626929145,29.152157226680888,191.98
Mostly cloudy (7/8),2010-05-25,-1,6.1,66.16575626929145,29.152157226680888,157.70666666666668
Cloudy (8/8),2010-05-26,-1,4.5,66.16575626929145,29.152157226680888,221.4466666666667
Clear (0/8),2010-05-27,-1,4.3,66.16575626929145,29.152157226680888,299.15000000000003
Clear (0/8),2010-05-28,-1,2.2,66.16575626929145,29.152157226680888,283.60090909090906
Mostly cloudy (7/8),2010-05-29,-1,5.7,66.16575626929145,29.152157226680888,233.2452525252525
Mostly cloudy (7/8),2010-05-30,-1,8.4,66.16575626929145,29.152157226680888,324.35
Mostly cloudy (7/8),2010-05-31,-1,8.7,66.16575626929145,29.152157226680888,204.1933333333333
Mostly clear (2/8),2010-06-01,-1,7.8,66.16575626929145,29.152157226680888,307.9389499389499
Clear (0/8),2010-06-02,-1,8.8,66.16575626929145,29.152157226680888,336.27000000000004
Clear (1/8),2010-06-03,-1,9.3,66.16575626929145,29.152157226680888,241.47666666666663
Mostly cloudy (7/8),2010-06-04,-1,5.5,66.16575626929145,29.152157226680888,181.94000000000003
Mostly cloudy (7/8),2010-06-05,-1,2.8,66.16575626929145,29.152157226680888,176.04
Mostly cloudy (7/8),2010-06-06,-1,2,66.16575626929145,29.152157226680888,177.03666666666663
Cloudy (8/8),2010-06-07,-1,3.4,66.16575626929145,29.152157226680888,239.64333333333332
-,2010-06-08,-1,6.5,66.16575626929145,29.152157226680888,187.00666666666663
Mostly clear (2/8),2010-06-09,-1,9.5,66.16575626929145,29.152157226680888,238.23666666666665
Clear (0/8),2010-06-10,-1,9,66.16575626929145,29.152157226680888,268.46666666666664
Mostly cloudy (6/8),2010-06-11,-1,11.6,66.16575626929145,29.152157226680888,235.70666666666668
Clear (0/8),2010-06-12,-1,7.3,66.16575626929145,29.152157226680888,327.90000000000003
Mostly cloudy (7/8),2010-06-13,-1,8,66.16575626929145,29.152157226680888,388.5933333333334
Clear (0/8),2010-06-14,-1,8.2,66.16575626929145,29.152157226680888,248.48333333333332
Mostly cloudy (7/8),2010-06-15,-1,7.1,66.16575626929145,29.152157226680888,276.74666666666667
Mostly cloudy (7/8),2010-06-16,-1,9.3,66.16575626929145,29.152157226680888,245.7625925925926
Mostly cloudy (7/8),2010-06-17,-1,11,66.16575626929145,29.152157226680888,250.5388888888889
Cloudy (8/8),2010-06-18,-1,12.3,66.16575626929145,29.152157226680888,192.49666666666667
Cloudy (8/8),2010-06-19,-1,13.2,66.16575626929145,29.152157226680888,198.95666666666668
Mostly cloudy (6/8),2010-06-20,-1,12.1,66.16575626929145,29.152157226680888,212.36333333333332
Clear (0/8),2010-06-21,-1,8.8,66.16575626929145,29.152157226680888,209.84333333333333
Clear (0/8),2010-06-22,-1,9.2,66.16575626929145,29.152157226680888,284.2866666666667
Partly cloudy (5/8),2010-06-23,-1,10,66.16575626929145,29.152157226680888,208.1703703703704
