Cloud cover [1/8],Date,Snow depth [cm],Unnamed: 0,Average temperature [°C],latitude,longitude,Average radiation
Clear (0/8),2004-03-01,82,60.0,-7.5,63.09919816994788,29.819181926899105,22.633333333333336
Clear (0/8),2004-03-02,80,61.0,-12.4,63.09919816994788,29.819181926899105,22.7
Mostly cloudy (7/8),2004-03-03,82,62.0,-9.6,63.09919816994788,29.819181926899105,172.03333333333333
Clear (0/8),2004-03-04,81,63.0,-6,63.09919816994788,29.819181926899105,226.33333333333331
Mostly cloudy (7/8),2004-03-05,80,64.0,-11.8,63.09919816994788,29.819181926899105,152.53333333333333
Cloudy (8/8),2004-03-06,79,65.0,-12.3,63.09919816994788,29.819181926899105,133.03333333333333
Cloudy (8/8),2004-03-07,78,66.0,-8.1,63.09919816994788,29.819181926899105,94.6
Cloudy (8/8),2004-03-08,78,67.0,-6.1,63.09919816994788,29.819181926899105,60.46666666666667
Clear (0/8),2004-03-09,77,68.0,-11.8,63.09919816994788,29.819181926899105,223.4
Clear (1/8),2004-03-10,77,69.0,-8.4,63.09919816994788,29.819181926899105,235.0
Clear (0/8),2004-03-11,77,70.0,-6.5,63.09919816994788,29.819181926899105,263.93333333333334
Clear (0/8),2004-03-12,75,71.0,-7.4,63.09919816994788,29.819181926899105,195.9
Clear (0/8),2004-03-13,75,72.0,-7.6,63.09919816994788,29.819181926899105,215.53333333333333
Clear (0/8),2004-03-14,75,73.0,-4.7,63.09919816994788,29.819181926899105,32.63333333333333
Cloudy (8/8),2004-03-15,75,74.0,0.5,63.09919816994788,29.819181926899105,2.5666666666666664
Mostly cloudy (7/8),2004-03-16,75,75.0,1.2,63.09919816994788,29.819181926899105,4.033333333333333
Cloudiness cannot be determined (9/8),2004-03-17,72,76.0,0.7,63.09919816994788,29.819181926899105,163.5666666666667
Partly cloudy (5/8),2004-03-18,72,77.0,-0.3,63.09919816994788,29.819181926899105,62.46666666666667
Cloudy (8/8),2004-03-19,70,78.0,0.5,63.09919816994788,29.819181926899105,192.5
Cloudy (8/8),2004-03-20,69,79.0,1.7,63.09919816994788,29.819181926899105,2.166666666666667
Mostly cloudy (7/8),2004-03-21,69,80.0,0.5,63.09919816994788,29.819181926899105,2.9000000000000004
Mostly cloudy (7/8),2004-03-22,67,81.0,-1.5,63.09919816994788,29.819181926899105,7.933333333333334
Cloudy (8/8),2004-03-23,70,82.0,-1.5,63.09919816994788,29.819181926899105,18.066666666666663
