"Observation station","Year","Month","Day","Time [Local time]","Snow depth [cm]"
"Helsinki Kumpula","2011","4","17","03:00","-1"
"Helsinki Kumpula","2011","4","18","03:00","-1"
"Helsinki Kumpula","2011","4","19","03:00","-1"
"Helsinki Kumpula","2011","4","20","03:00","-1"
"Helsinki Kumpula","2011","4","21","03:00","-1"
"Helsinki Kumpula","2011","4","22","03:00","-1"
"Helsinki Kumpula","2011","4","23","03:00","-1"
"Helsinki Kumpula","2011","4","24","03:00","-1"
"Helsinki Kumpula","2011","4","25","03:00","-1"
"Helsinki Kumpula","2011","4","26","03:00","-1"
"Helsinki Kumpula","2011","4","27","03:00","-1"
"Helsinki Kumpula","2011","4","28","03:00","-1"
"Helsinki Kumpula","2011","4","29","03:00","-1"
"Helsinki Kumpula","2011","4","30","03:00","-1"
"Helsinki Kumpula","2011","5","1","03:00","-1"
"Helsinki Kumpula","2011","5","2","03:00","-1"
"Helsinki Kumpula","2011","5","3","03:00","-1"
"Helsinki Kumpula","2011","5","4","03:00","-1"
"Helsinki Kumpula","2011","5","5","03:00","-1"
"Helsinki Kumpula","2011","5","6","03:00","-1"
"Helsinki Kumpula","2011","5","7","03:00","-1"
"Helsinki Kumpula","2011","5","8","03:00","-1"
"Helsinki Kumpula","2011","5","9","03:00","-1"
"Helsinki Kumpula","2011","5","10","03:00","-1"
"Helsinki Kumpula","2011","5","11","03:00","-1"
"Helsinki Kumpula","2011","5","12","03:00","-1"
"Helsinki Kumpula","2011","5","13","03:00","-1"
"Helsinki Kumpula","2011","5","14","03:00","-1"
"Helsinki Kumpula","2011","5","15","03:00","-1"
"Helsinki Kumpula","2011","5","16","03:00","-1"
"Helsinki Kumpula","2011","5","17","03:00","-1"
"Helsinki Kumpula","2011","5","18","03:00","-1"
"Helsinki Kumpula","2011","5","19","03:00","-1"
"Helsinki Kumpula","2011","5","20","03:00","-1"
"Helsinki Kumpula","2011","5","21","03:00","-1"
"Helsinki Kumpula","2011","5","22","03:00","-1"
"Helsinki Kumpula","2011","5","23","03:00","-1"
"Helsinki Kumpula","2011","5","24","03:00","-1"
"Helsinki Kumpula","2011","5","25","03:00","-1"
"Helsinki Kumpula","2011","5","26","03:00","-1"
"Helsinki Kumpula","2011","5","27","03:00","-1"
"Helsinki Kumpula","2011","5","28","03:00","-1"
"Helsinki Kumpula","2011","5","29","03:00","-1"
"Helsinki Kumpula","2011","5","30","03:00","-1"
"Helsinki Kumpula","2011","5","31","03:00","-1"
"Helsinki Kumpula","2011","6","1","03:00","-1"
"Helsinki Kumpula","2011","6","2","03:00","-1"
"Helsinki Kumpula","2011","6","3","03:00","-1"
"Helsinki Kumpula","2011","6","4","03:00","-1"
"Helsinki Kumpula","2011","6","5","03:00","-1"
"Helsinki Kumpula","2011","6","6","03:00","-1"
"Helsinki Kumpula","2011","6","7","03:00","-1"
"Helsinki Kumpula","2011","6","8","03:00","-1"
"Helsinki Kumpula","2011","6","9","03:00","-1"
"Helsinki Kumpula","2011","6","10","03:00","-1"
"Helsinki Kumpula","2011","6","11","03:00","-1"
"Helsinki Kumpula","2011","6","12","03:00","-1"
"Helsinki Kumpula","2011","6","13","03:00","-1"
"Helsinki Kumpula","2011","6","14","03:00","-1"
"Helsinki Kumpula","2011","6","15","03:00","-1"
