NewIndex,Direct solar radiation mean [W/m2],Date
246,7.5,2004-06-30
247,44,2004-07-01
248,44.0,2004-07-01
249,335.1,2004-07-02
250,6.7,2004-07-03
251,294.1,2004-07-04
252,251.0,2004-07-05
253,302.9,2004-07-06
254,92.2,2004-07-07
255,495.0,2004-07-08
256,178.9,2004-07-09
257,108.2,2004-07-10
258,133.2,2004-07-11
259,216.7,2004-07-12
260,160.6,2004-07-13
261,220.7,2004-07-14
262,307.2,2004-07-15
263,385.0,2004-07-16
264,182.8,2004-07-17
265,397.4,2004-07-18
266,224.3,2004-07-19
267,292.4,2004-07-20
268,163.1,2004-07-21
269,69.8,2004-07-22
270,162.8,2004-07-23
271,209.4,2004-07-24
272,132.6,2004-07-25
273,149.2,2004-07-26
274,112.3,2004-07-27
275,13.5,2004-07-28
276,10.6,2004-07-29
277,29.6,2004-07-30
278,31.9,2004-07-31
279,214.1,2004-08-01
280,176.7,2004-08-02
281,190.4,2004-08-03
282,331.3,2004-08-04
283,348.8,2004-08-05
284,358.7,2004-08-06
285,359.4,2004-08-07
286,216.6,2004-08-08
287,197.8,2004-08-09
288,374.4,2004-08-10
289,149.9,2004-08-11
290,299.4,2004-08-12
291,221.3,2004-08-13
292,244.5,2004-08-14
293,127.6,2004-08-15
294,301.0,2004-08-16
295,18.5,2004-08-17
296,85.7,2004-08-18
297,90.1,2004-08-19
298,209.3,2004-08-20
299,143.8,2004-08-21
300,146.2,2004-08-22
301,245.5,2004-08-23
302,307.3,2004-08-24
303,272.5,2004-08-25
304,5.4,2004-08-26
305,179.7,2004-08-27
306,135.6,2004-08-28
307,323.6,2004-08-29
308,17.4,2004-08-30
309,43.7,2004-08-31
310,63.1,2004-09-01
311,63.1,2004-09-01
312,10.3,2004-09-02
313,36.9,2004-09-03
314,280.3,2004-09-04
315,185.7,2004-09-05
316,80.6,2004-09-06
317,140,2004-09-07
318,262.5,2004-09-08
319,197.3,2004-09-09
320,188.1,2004-09-10
321,272.4,2004-09-11
322,23.1,2004-09-12
323,123.5,2004-09-13
324,117.6,2004-09-14
325,-,2004-09-15
326,-,2004-09-16
327,24.6,2004-09-17
328,6.3,2004-09-18
329,50.4,2004-09-19
330,284.8,2004-09-20
331,22.8,2004-09-21
332,17.8,2004-09-22
333,60.4,2004-09-23
334,75.1,2004-09-24
335,68.7,2004-09-25
336,232.8,2004-09-26
337,6.3,2004-09-27
338,27.4,2004-09-28
339,113.3,2004-09-29
340,129.8,2004-09-30
341,271.5,2004-10-01
342,178.1,2004-10-02
343,5.5,2004-10-03
344,192.3,2004-10-04
345,14.4,2004-10-05
346,8.4,2004-10-06
347,173.9,2004-10-07
348,63.9,2004-10-08
349,216.5,2004-10-09
350,254.7,2004-10-10
351,130.9,2004-10-11
352,256.1,2004-10-12
353,-,2004-10-13
354,-,2004-10-14
355,166.4,2004-10-15
356,79.2,2004-10-16
357,5,2004-10-17
358,4.4,2004-10-18
359,4.3,2004-10-19
360,14.3,2004-10-20
361,4.5,2004-10-21
362,17.8,2004-10-22
363,20.7,2004-10-23
364,22.2,2004-10-24
365,153.3,2004-10-25
366,5,2004-10-26
367,18.9,2004-10-27
368,210,2004-10-28
369,101,2004-10-29
370,19.8,2004-10-30
371,4,2004-10-31
372,173.9,2004-11-01
373,42.7,2023-01-01
374,8.5,2023-01-02
375,0.1,2023-01-03
376,0.2,2023-01-04
377,0.4,2023-01-05
378,0.5,2023-01-06
379,3.7,2023-01-07
380,0.2,2023-01-08
381,0.2,2023-01-09
382,0.3,2023-01-10
383,0.3,2023-01-11
384,0.4,2023-01-12
385,0.6,2023-01-13
386,0.2,2023-01-14
387,0.2,2023-01-15
388,0.4,2023-01-16
389,0.1,2023-01-17
390,0.3,2023-01-18
391,0.4,2023-01-19
392,0.7,2023-01-20
393,67.6,2023-01-21
394,0.7,2023-01-22
395,2.8,2023-01-23
396,0.4,2023-01-24
397,0.4,2023-01-25
398,0.4,2023-01-26
399,149.9,2023-01-27
400,0.6,2023-01-28
401,18.8,2023-01-29
402,5.5,2023-01-30
403,84.1,2023-01-31
404,0.4,2023-02-01
405,50.2,2023-02-02
406,78.1,2023-02-03
407,162.5,2023-02-04
408,25.4,2023-02-05
409,170.5,2023-02-06
410,0.7,2023-02-07
411,0.5,2023-02-08
412,0.9,2023-02-09
413,36.4,2023-02-10
414,145.6,2023-02-11
415,4.8,2023-02-12
416,6.6,2023-02-13
417,111.6,2023-02-14
418,51.5,2023-02-15
419,0.3,2023-02-16
420,0.3,2023-02-17
421,0.1,2023-02-18
422,1.0,2023-02-19
423,10.5,2023-02-20
424,13.0,2023-02-21
425,233.3,2023-02-22
426,0.7,2023-02-23
427,0.6,2023-02-24
428,6.3,2023-02-25
429,213.4,2023-02-26
430,94.4,2023-02-27
431,12.2,2023-02-28
432,114.0,2023-03-01
433,27.0,2015-10-01
434,140.2,2015-10-02
435,316.6,2015-10-03
436,6.8,2015-10-04
437,275.5,2015-10-05
438,320.0,2015-10-06
439,306.7,2015-10-07
440,304.5,2015-10-08
441,227.6,2015-10-09
442,103.0,2015-10-10
443,291.1,2015-10-11
444,240.7,2015-10-12
445,125.3,2015-10-13
