NewIndex,Direct solar radiation mean [W/m2],Date
245,1.8,2007-01-04
246,1.3,2007-01-05
247,2.7,2007-01-06
248,3.4,2007-01-07
249,1.3,2007-01-08
250,1.1,2007-01-09
251,1.2,2007-01-10
252,23.5,2007-01-11
253,20.1,2007-01-12
254,2.5,2007-01-13
255,4.2,2007-01-14
256,4.0,2007-01-15
257,1.0,2007-01-16
258,2.4,2007-01-17
259,2.3,2007-01-18
260,23.8,2007-01-19
261,11.4,2007-01-20
262,4.7,2007-01-21
263,35.0,2007-01-22
264,4.1,2007-01-23
265,4.7,2007-01-24
266,2.2,2007-01-25
267,2.2,2007-01-26
268,2.6,2007-01-27
269,2.3,2007-01-28
270,4.5,2007-01-29
271,3.2,2007-01-30
272,4.3,2007-01-31
273,3.6,2007-02-01
274,1.8,2007-02-02
275,1.0,2007-02-03
276,1.2,2007-02-04
277,3.3,2007-02-05
278,5.2,2007-02-06
279,4.4,2007-02-07
280,2.9,2007-02-08
281,3.2,2007-02-09
282,3.1,2007-02-10
283,3.5,2007-02-11
284,3.8,2007-02-12
285,3.6,2007-02-13
286,1.6,2007-02-14
287,0.2,2007-02-15
288,0.5,2007-02-16
289,-0.1,2007-02-17
290,0.6,2007-02-18
291,0.7,2007-02-19
292,27.6,2007-02-20
293,177.6,2007-02-21
294,142.1,2007-02-22
295,79.1,2007-02-23
296,1.9,2007-02-24
297,1.4,2007-02-25
298,2.0,2007-02-26
299,34.4,2007-02-27
300,15.3,2007-02-28
301,1.5,2007-03-01
302,4.2,2008-01-01
303,3.1,2008-01-02
304,2.7,2008-01-03
305,2.2,2008-01-04
306,3.4,2008-01-05
307,3.9,2008-01-06
308,3.5,2008-01-07
309,-,2008-01-08
310,-,2008-01-09
311,1.6,2008-01-10
312,1.1,2008-01-11
313,1.8,2008-01-12
314,1.6,2008-01-13
315,4.8,2008-01-14
316,1.7,2008-01-15
317,1.1,2008-01-16
318,1.5,2008-01-17
319,3.6,2008-01-18
320,0.8,2008-01-19
321,1.9,2008-01-20
322,-,2008-01-21
323,-,2008-01-22
324,28.1,2008-01-23
325,2.3,2008-01-24
326,3.5,2008-01-25
327,4.5,2008-01-26
328,56,2008-01-27
329,33,2008-01-28
330,24.3,2008-01-29
331,51.4,2008-01-30
332,2.6,2008-01-31
333,1.9,2008-02-01
334,1.2,2008-02-02
335,2.7,2008-02-03
336,97.7,2008-02-04
337,3.4,2008-02-05
338,1.3,2008-02-06
339,1.7,2008-02-07
340,1.5,2008-02-08
341,2.6,2008-02-09
342,2.4,2008-02-10
343,33.2,2008-02-11
344,5.7,2008-02-12
345,74.9,2008-02-13
346,38.5,2008-02-14
347,161.5,2008-02-15
348,2.1,2008-02-16
349,102.9,2008-02-17
350,154.1,2008-02-18
351,98.9,2008-02-19
352,81.8,2008-02-20
353,1.8,2008-02-21
354,0.6,2008-02-22
355,155.1,2008-02-23
356,13.1,2008-02-24
357,1.4,2008-02-25
358,138.3,2008-02-26
359,58.3,2008-02-27
360,79.4,2008-02-28
361,105.1,2008-02-29
362,77.8,2008-03-01
363,1.6,2009-01-01
364,2.2,2009-01-02
