Date,Average radiation
2004-01-01,63.4
2004-01-02,65.66666666666667
2004-01-03,54.56666666666667
2004-01-04,4.5
2004-01-05,3.4666666666666663
2004-01-06,2.7999999999999994
2004-01-07,5.366666666666666
2004-01-08,2.1
2004-01-09,2.1999999999999997
2004-01-10,2.5666666666666664
2004-01-11,2.3000000000000003
2004-01-12,2.2
2004-01-13,2.1333333333333333
2004-01-14,1.8333333333333333
2004-01-15,2.5
2004-01-16,27.8
2004-01-17,3.9
2004-01-18,30.3
2004-01-19,2.9
2004-01-20,50.699999999999996
2004-01-21,57.166666666666664
2004-01-22,71.56666666666666
2004-01-23,18.666666666666668
2004-01-24,2.1333333333333333
2004-01-25,3.266666666666667
2004-01-26,7.533333333333334
2004-01-27,2.266666666666666
2004-01-28,3.033333333333333
2004-01-29,2.466666666666667
2004-01-30,5.3999999999999995
2004-01-31,2.566666666666667
2004-02-01,2.1333333333333333
2004-02-02,3.466666666666667
2004-02-03,13.033333333333331
2004-02-04,2.5
2004-02-05,3.3333333333333335
2004-02-06,4.533333333333333
2004-02-07,3.766666666666667
2004-02-08,21.03333333333333
2004-02-09,18.033333333333335
2004-02-10,119.2
2004-02-11,146.46666666666667
2004-02-12,33.6
2004-02-13,2.7999999999999994
2004-02-14,4.866666666666666
2004-02-15,15.833333333333334
2004-02-16,93.89999999999999
2004-02-17,3.066666666666667
2004-02-18,142.03333333333333
2004-02-19,40.333333333333336
2004-02-20,31.8
2004-02-21,52.599999999999994
2004-02-22,3.9333333333333336
2004-02-23,6.333333333333333
2004-02-24,116.13333333333334
2004-02-25,2.766666666666667
2004-02-26,3.3666666666666667
2004-02-27,46.06666666666666
2004-02-28,118.60000000000001
2004-02-29,59.1
2004-03-01,22.633333333333336
2004-03-02,22.7
2004-03-03,172.03333333333333
2004-03-04,226.33333333333334
2004-03-05,152.53333333333333
2004-03-06,133.03333333333333
2004-03-07,94.60000000000001
2004-03-08,60.46666666666667
2004-03-09,223.39999999999998
2004-03-10,235.0
2004-03-11,263.93333333333334
2004-03-12,195.89999999999998
2004-03-13,215.53333333333333
2004-03-14,32.63333333333333
2004-03-15,2.5666666666666664
2004-03-16,4.033333333333333
2004-03-17,163.5666666666667
2004-03-18,62.46666666666667
2004-03-19,192.5
2004-03-20,2.166666666666667
2004-03-21,2.9000000000000004
2004-03-22,7.933333333333334
2004-03-23,18.066666666666666
2004-03-24,15.033333333333333
2004-03-25,63.13333333333333
2004-03-26,115.33333333333333
2004-03-27,66.00000000000001
2004-03-28,226.63333333333333
2004-03-29,122.53333333333335
2004-03-30,125.66666666666669
2004-03-31,347.43333333333334
2004-04-01,401.3333333333333
2004-04-02,371.8666666666666
2004-04-03,311.26666666666665
2004-04-04,316.59999999999997
2004-04-05,230.0666666666667
2004-04-06,193.9333333333333
2004-04-07,306.1
2004-04-08,286.93333333333334
2004-04-09,241.99999999999997
2004-04-10,176.96666666666667
2004-04-11,253.46666666666667
2004-04-12,301.0
2004-04-13,381.73333333333335
2004-04-14,13.266666666666666
2004-04-15,214.86666666666665
2004-04-16,85.93333333333334
2004-04-17,260.9
2004-04-18,172.36666666666667
2004-04-19,216.96666666666667
2004-04-20,9.266666666666666
2004-04-21,194.46666666666667
2004-04-22,309.1666666666667
2004-04-23,359.1666666666667
2004-04-24,340.8666666666666
2004-04-25,306.9
2004-04-26,298.09999999999997
2004-04-27,303.6666666666667
2004-04-28,267.0
2004-04-29,161.1
2004-04-30,274.3
2004-05-01,206.4666666666667
2004-05-02,281.36666666666673
2004-05-03,262.0
2004-05-04,53.56666666666667
2004-05-05,220.9333333333333
2004-05-06,367.6666666666667
2004-05-07,273.2
2004-05-08,239.1
2004-05-09,186.46666666666667
2004-05-10,121.33333333333331
2004-05-11,305.86666666666673
2004-05-12,279.53333333333336
2004-05-13,226.16666666666666
2004-05-14,100.23333333333335
2004-05-15,184.93333333333337
2004-05-16,91.0
2004-05-17,323.9
2004-05-18,34.699999999999996
2004-05-19,97.3
2004-05-20,300.6666666666667
2004-05-21,75.60000000000001
2004-05-22,81.7
2004-05-23,154.36666666666667
2004-05-24,194.03333333333333
2004-05-25,218.0666666666667
2004-05-26,307.06666666666666
2004-05-27,162.70000000000002
2004-05-28,265.8666666666667
2004-05-29,147.73333333333332
2004-05-30,204.03333333333333
2004-05-31,106.93333333333334
2004-06-01,237.06666666666663
2004-06-02,266.90000000000003
2004-06-03,344.1666666666667
2004-06-04,366.56666666666666
2004-06-05,316.0
2004-06-06,112.76666666666667
2004-06-07,55.900000000000006
2004-06-08,46.76666666666667
2004-06-09,371.6666666666667
2004-06-10,175.29999999999998
2004-06-11,53.46666666666667
2004-06-12,55.599999999999994
2004-06-13,284.7
2004-06-14,126.86666666666666
2004-06-15,281.09999999999997
2004-06-16,29.499999999999996
2004-06-17,126.86666666666667
2004-06-18,162.9
2004-06-19,219.5
2004-06-20,322.3666666666667
2004-06-21,140.4
2004-06-22,263.90000000000003
2004-06-23,171.03703703703704
2004-06-24,222.09259259259258
2004-06-25,231.39999999999998
2004-06-26,191.83333333333334
2004-06-27,133.9
2004-06-28,53.20000000000001
2004-06-29,135.23333333333332
2004-06-30,39.733333333333334
2004-07-01,151.56666666666666
2004-07-02,252.20000000000002
2004-07-03,12.4
2004-07-04,231.03333333333333
2004-07-05,207.46666666666667
2004-07-06,203.73333333333335
2004-07-07,119.23333333333335
2004-07-08,302.06666666666666
2004-07-09,124.63333333333333
2004-07-10,119.13333333333333
2004-07-11,97.86666666666667
2004-07-12,153.3
2004-07-13,121.5
