place;latitude;longitude
ruka;66.16575626929145;29.152157226680888
Levi;67.78546081039612;24.856284347661145
Vuokatti;64.13945257073718;28.287481328803143
Koli;63.09919816994788;29.819181926899102
Messilä;61.01379075534379;25.55854445562533
Saariselkä;68.42513494822931;27.449661815543895
Himos;61.8796121360518;25.299436616956275
Tahko;63.289114471760264;28.040136971086827
Peuramaa;60.10268550038162;24.464341197907363
Pyhä;67.01425685767254;27.149530204689302

