"Observation station","Year","Month","Day","Time [Local time]","Snow depth [cm]"
"Jämsä Halli airport","2004","4","16","03:00","5"
"Jämsä Halli airport","2004","4","17","03:00","0"
"Jämsä Halli airport","2004","4","18","03:00","0"
"Jämsä Halli airport","2004","4","19","03:00","0"
"Jämsä Halli airport","2004","4","20","03:00","0"
"Jämsä Halli airport","2004","4","21","03:00","0"
"Jämsä Halli airport","2004","4","22","03:00","0"
"Jämsä Halli airport","2004","4","23","03:00","0"
"Jämsä Halli airport","2004","4","24","03:00","0"
"Jämsä Halli airport","2004","4","25","03:00","0"
"Jämsä Halli airport","2004","4","26","03:00","0"
"Jämsä Halli airport","2004","4","27","03:00","-1"
"Jämsä Halli airport","2004","4","28","03:00","-1"
"Jämsä Halli airport","2004","4","29","03:00","-1"
"Jämsä Halli airport","2004","4","30","03:00","-1"
"Jämsä Halli airport","2004","5","1","03:00","-1"
"Jämsä Halli airport","2004","5","2","03:00","-1"
"Jämsä Halli airport","2004","5","3","03:00","-1"
"Jämsä Halli airport","2004","5","4","03:00","-1"
"Jämsä Halli airport","2004","5","5","03:00","-1"
"Jämsä Halli airport","2004","5","6","03:00","-1"
"Jämsä Halli airport","2004","5","7","03:00","-1"
"Jämsä Halli airport","2004","5","8","03:00","-1"
"Jämsä Halli airport","2004","5","9","03:00","-1"
"Jämsä Halli airport","2004","5","10","03:00","-1"
"Jämsä Halli airport","2004","5","11","03:00","-1"
"Jämsä Halli airport","2004","5","12","03:00","-1"
"Jämsä Halli airport","2004","5","13","03:00","-1"
"Jämsä Halli airport","2004","5","14","03:00","-1"
"Jämsä Halli airport","2004","5","15","03:00","-1"
"Jämsä Halli airport","2004","5","16","03:00","-1"
"Jämsä Halli airport","2004","5","17","03:00","-1"
"Jämsä Halli airport","2004","5","18","03:00","-1"
"Jämsä Halli airport","2004","5","19","03:00","-1"
"Jämsä Halli airport","2004","5","20","03:00","-1"
"Jämsä Halli airport","2004","5","21","03:00","-1"
"Jämsä Halli airport","2004","5","22","03:00","-1"
"Jämsä Halli airport","2004","5","23","03:00","-1"
"Jämsä Halli airport","2004","5","24","03:00","-1"
"Jämsä Halli airport","2004","5","25","03:00","-1"
"Jämsä Halli airport","2004","5","26","03:00","-1"
"Jämsä Halli airport","2004","5","27","03:00","-1"
"Jämsä Halli airport","2004","5","28","03:00","-1"
"Jämsä Halli airport","2004","5","29","03:00","-1"
"Jämsä Halli airport","2004","5","30","03:00","-1"
"Jämsä Halli airport","2004","5","31","03:00","-1"
"Jämsä Halli airport","2004","6","1","03:00","-1"
"Jämsä Halli airport","2004","6","2","03:00","-1"
"Jämsä Halli airport","2004","6","3","03:00","-1"
"Jämsä Halli airport","2004","6","4","03:00","-1"
"Jämsä Halli airport","2004","6","5","03:00","-1"
"Jämsä Halli airport","2004","6","6","03:00","-1"
"Jämsä Halli airport","2004","6","7","03:00","-1"
"Jämsä Halli airport","2004","6","8","03:00","-1"
"Jämsä Halli airport","2004","6","9","03:00","-1"
"Jämsä Halli airport","2004","6","10","03:00","-1"
"Jämsä Halli airport","2004","6","11","03:00","-1"
"Jämsä Halli airport","2004","6","12","03:00","-1"
"Jämsä Halli airport","2004","6","13","03:00","-1"
